名词(中文)	名词(英文)	解释(中文)	解释(英文)
复果，聚花果	Multiple fruit	由聚集在单个花轴上的几个分离花形成的果实，如桑葚和菠萝。	A fruit formed from several separate flowers crowded on a single axis, as a mulberry or pineapple.
坚果	Nut	不开裂的，通常具单个种子的坚硬干果。	A hard, dry, indehiscent fruit, usually with a single seed.
小坚果	Nutlet	小的坚果；某些紫草科、马鞭草科和唇形科植物成熟子房的裂瓣之一。	A small nut; one of the lobes or sections of the mature ovary of some members of the Boraginaceae, Verbenaceae, and Labiatae (Lamiaceae).
瓠果	Pepo	具坚韧果皮和多数种子的不开裂肉质果实，如甜瓜或黄瓜。	A fleshy, indehiscent, many-seeded fruit with a tough rind, as a melon or a cucumber.
荚[果]	Pod	任何开裂的干果，尤指荚果或蓇葖果。	Any dry, dehiscent fruit, especially a legume or follicle.
梨果	Pome	由下位复合子房形成的不开裂肉质果实，由围绕果核的变态花筒组成，如苹果。	A fleshy, indehiscent fruit derived from an inferior, compound ovary, consisting of a modified floral tube surrounding a core, as in an apple.
孔裂蒴果	Poricidal capsule	由多个小孔开裂的蒴果，如罂粟。	A capsule opening by pores, as in a poppy.
假果	Pseudocarp	由花托而不是由子房发育成的果实，如梨果。	A fruit which develops from the receptacle rather than the ovary, as in a pome.
盖果	Pyxidium	周裂的蒴果，其顶端呈盖状脱落。	A circumscissile capsule, the top coming off as a lid.
翅果	Samara	具翅的不开裂的干果。	A dry, indehiscent, winged fruit.
分果	Schizocarp	不开裂的干果，成熟时分开成为数个含一个种子的果瓣（心皮）。	A dry, indehiscent fruit which splits into separate one-seeded segments (carpels) at maturity.
室间裂蒴果	Septicidal capsule	沿隔膜和室间开裂的蒴果 。（对比 室背开裂的和孔裂的 ）	A capsule dehiscing through the septa and between the locules. (compare loculicidal and poricidal)
短角果	Silicle	十字花科的一种开裂干果，果长小于二倍果宽，两个心皮瓣片从宿存的胎座和(假)隔膜处(胎座框)分开。	A dry, dehiscent fruit of the Cruciferae (Brassicaceae), typically less than twice as long as wide, with two valves separating from the persistent placentae and septum (replum).
长角果	Silique	十字花科的一种开裂干果，果长大于二倍果宽，两个心皮瓣片从宿存的胎座和(假)隔膜处( 胎座框)分开。	A dry, dehiscent fruit of the Cruciferae (Brassicaceae), typically more than twice as long as wide, with two valves separating from the persistent placentae and septum (replum).
隐头果	Syconium(pl. syconia).	无花果的果实，由具中空内陷花托的整个成熟花序形成，花着生在花托内部。	The fruit of a fig, consisting of an entire repened inflorescence with a hollow, inverted receptacle bearing flowers internally.
合心皮果	Syncarp	复果。	A multiple fruit.
胞果	Utricle	果皮薄，含单个种子，多少呈膀胱状膨胀的小的果实。	A small, thin-walled, one-seeded, more or less bladdery-inflated fruit.
具泡状隆起的	Bullate	表面被覆圆形的泡状突起物。	With rounded, blistery projections covering the surface.
具沟的	Canaliculate	具有纵向的沟或槽。	With longitudinal channels or grooves.
格状的	Cancellate	具有细小、规则呈网状的格。	Latteced with a fine, regular, reticulate pattern.
变灰白的	Canescent	由于被覆短而细的灰色或白色毛呈灰色或白色。	Gray or white in color due to a covering of short, fine gray or white hairs.
具沟的	Channeled	具有一条或多条深的纵沟。	With one or more deep longitudinal grooves.
具缘毛的	Ciliate	边缘具有流苏状毛。	With a marginal fringe of hairs.
具短缘毛的	Ciliolate	边缘具有流苏状小毛。	With a marginal fringe of minute hairs.
灰色的	Cinereous	灰色的；由于被覆短毛而呈灰色。	Ash-colored; grayish due to a covering of short hairs.
革质的	Coriaceous	具有皮革般的质地。	With a leathery texture.
具皱褶的	Corrugated	起皱或折叠成交错的沟和脊。	Wrinkled or folded into alternating furrows and ridges.
具长软毛的	Crinite	具簇生的长而软的毛。	With tufts of long, soft hairs.
①无害的②无刺的	Innocuous	无害；缺乏棘或刺。	Harmless; lacking thorns or spines.
光滑的	Laevigate	有光泽的；发亮的。	Lustrous; shinning.
具绵状毛的	Lanate	具绵状毛；密被长卷毛。	Woolly; densely covered with long tangled hairs.
被绒毛的	Lanuginose	绒毛状的或绵毛状的；具软的绒毛。	Downy or woolly; with soft downy hairs.
被绒毛的	Lanuginous	绒毛状的或绵毛状的；具软的绒毛。	Downy or woolly; with soft downy hairs.
短绵状毛的	Lanulose	细小的绵状毛；小绵毛状。	Diminutive of lanate; minutely woolly.
具鳞片的	Lepidote	被覆小的屑状鳞片。	Covered with small, scurfy scales.
有光泽的	Lucid	明亮的，发亮的。	Luminous. Shining.
有光泽的	Lustrous	发亮的或有光泽的。	Shiny or glossy.
具乳突的	Mammillate	具乳头状突起。	With nipple-like protuberances.
具毡状毛的	Manicate	具有厚的相互交织的柔毛。	With a thick, interwoven pubescence.
粉状的	Mealy	连续被粉；粉状，干而易碎。	With the consistency of meal; powdery. Dry, and crumbly.
粗糙的	Muricate	具小而尖的突起。	Rough with small, sharp projections or points.
微糙的	Muriculate	略粗糙。	Very finely muricate.
具珍珠光泽的	Nacreous	具有珍珠般的光泽；珍珠般的。	With a pearly luster；pearlescent.
有光泽的	Nitid	有光泽的；发亮的。	Lustrous; shining.
具斑[点]的	Notate	具有线斑或点斑。	Marked with lines or spots.
糠秕状的	Paleaceous	糠秕状的；具糠秕状的鳞片。	Chaffy; with chaffy scales.
毡毛状的	Pannose	被覆短而密的毡状绒毛。	Covered with a short, dense, felt-like tomentum.
具[花]柱基的	Stylopodic	具花柱基。	With a stylopodium.
三花柱的	Tristylous	具三个花柱。	With three styles.
中轴胎座式	Axile placentation	胚珠着生在二室或多室子房的中轴上。	Ovules attached to the central axis of an ovary with two or more locules.
基生胎座式	Basal placentation	胚珠着生于单室子房的基部。	Ovules positioned at the base of a single-loculed ovary.
特立中央胎座式	Free-central placentation	胚珠着生在单室子房中央的与子房上部不相连的柱上。	Ovules attached to a free-standing column in the center of a unilocular ovary.
边缘胎座式	Marginal placentation	胚珠着生在单心皮的腹缝线上。	Ovules attached to the juxtaposed margins of a simple pistil.
侧膜胎座式	Parietal placentation	胚珠着生于子房壁上。	Ovules attached to the walls of the ovary.
横生胚珠	Amphitropous ovule	直且半倒置，种脐位于侧面的胚珠。	An ovule which is half-inverted and straight, with the hilum lateral.
倒生胚珠	Anatropous ovule	直且倒置，珠孔紧邻珠柄的胚珠。	An ovule which is inverted and straight with the micropyle situated next to the funiculus.
弯生胚珠	Campylotropous ovule	珠孔邻近珠柄和合点的弯曲的胚珠。	An ovule which is curved so that the micropyle is positioned near the funiculus and the chalaza.
横生胚珠	Hemianatropous ovule	珠柄与胚珠长轴成直角的半倒置胚珠。	An ovule which is half-inverted so that the funiculus is attached near the middle with the micropyle at a right angle.
横生胚珠	Hemitropous ovule	珠柄与胚珠长轴成直角的半倒置胚珠。	An ovule which is half-inverted so that the funiculus is attached near the middle with the micropyle at a right angle.
直生胚珠	Orthotropous ovule	竖直的胚珠	An ovule ovule which is straight and erect.
节	Article	果实上相邻缢缩之间的部分。	Section of a fruit separated from others by a constricted joint.
果瓣柄	Carpophore	花托在两个心皮间的细长延伸，作为中轴，如某些伞形科和牻 牛儿苗科植物的果实。	A slender prolongation of the receptacle between the carpels as a central axis, as in the fruits of some members of  the Umbelliferae (Apiaceae) and the Geraniaceae.
室	Cell	子房中包含胚珠的空腔或小室；小腔。	A hollow cavity or compartment within an ovary containing ovules; a locule.
接着面	Commissure	两个心皮彼此连接的面，如伞形科植物	The face by which two carpels join one another, as in the Umbelliferae (Apiaceae)
壳斗	Cupule	杯状总苞，如槲果。	A cup-shaped involucre, as in an acorn.
隔膜	Dissepiment	如子房室之间的隔。	A partition, as the partitions separating the locules of an ovary.
内果皮	Endocarp	果实中果皮的内层。	The inner layer of the pericarp of a fruit. (compare mesocarp and exocarp).
外果皮	Epicarp	果实中果皮的外层。	The outer layer of the pericarp of a fruit. (compare mesocarp and endocarp)
珠柄	Funiculus （pl. funiculi）	种子的柄。	The stalk of a seed.
雌蕊柄	Gynophore	某些花中着生雌蕊的伸长的柄。	An elongated stalk bearing the pistil in some flowers.
托杯，被丝托	Hypanthium	花轴(花托)的杯状延伸部分，常由花萼、花冠和雄蕊群的基部联合而成，通常包围或包裹着雌蕊。	A cup-shaped extension of the floral axis usually formed from the union of the basal parts of the calyx, corolla, and androecium, commonly surrounding or enclosing the pistils.
子房室	Locule	包含种子的子房室或腔。	The chamber or cavity of an ovary containing the seed.
子房室	Loculus（pl. loculi）	包含种子的子房室或腔。	The chamber or cavity of an ovary containing the seed.
分果爿，悬果爿	Mericarp	分果的一部分；伞形科植物果实的两瓣之一。	A section of a schizocarp; one of the two halves of the fruit in the Umbelliferae (Apiaceae).
中果皮	Mesocarp	果实中果皮的中层。	The middle layer of the pericarp of a fruit. (compare endocarp and exocarp)
盖	Operculum	小的盖，如周裂蒴果的脱落盖 。	A small lid, such as the deciduous cap of a circumscissile capsule.
子房	Ovary	雌蕊膨大的基部，内含胚珠；未成熟的果实。	The expanded basal portion of the pistil that contains the ovules; the immature fruit.
珠心	Kernel	胚珠中紧邻珠被下方并包围雌配子体的部分。	The part of the ovule just beneath the integuments and surrounding the female gamitophyte.
室	Locule	子房中包含胚珠的腔或室。	The chamber or cavity of an ovary containing the ovules.
小室	Loculus (pl. loculi)	子房中包含胚珠的腔或室。	The chamber or cavity of an ovary containing the ovules.
珠孔	Micropyle	胚珠珠被上的开口。	The opening in the integuments of the ovule.
珠心	Nucellus	胚珠中紧邻珠被下方并包围雌配子体的部分。	The part of the ovule just beneath the integuments and surrounding the female gamitophyte.
子房	Ovary	雌蕊膨大的基部，内含胚珠。	The expanded basal portion of the pistil that contains the ovules.
胚珠	Ovule	未成熟的种子；种子植物的大孢子囊及其周围的被层。	An immature seed; the megasporangium and surrounding integuments of a seed plant.
雌蕊	Pistil	花的雌性生殖器官，典型的花由花柱、柱头和子房组成。	The female reproductive organ of a flower, typically consisting of a stigma, style, and ovary.
胎座	Placenta (pl. placentae)	子房中着生胚珠的部分。	The portion of the ovary bearing ovules.
果柄	Podogyne	着生子房的柄。	A stipe supporting an ovary.
小喙; 蕊喙	Rostellum	小的喙；兰科柱头上边缘的一个突起。	A small beak; an extension from the upper edge of the stigma in orchids.
隔膜	Septum (pl. septa)	隔，如子房室中的隔。	A partition, as the partitions separation the locules of an ovary.
柱头	Stigma	雌蕊接受花粉的部位。	The portion of the pistil which is receptive to pollen.
柄，梗	Stipe	支撑某枚结构的柄或梗，如某些花中连接子房与花托的柄。	A stalk supporting a structure, as the stalk attaching the ovary to the receptacle in some flowers.
花柱	Style	雌蕊中连接柱头和子房的通常部分。	The usually narrowed portion of the pistil connecting the stigma to the ovary.
(花)柱基	Stylopodium	伞形科植物花柱盘状膨大基部的结构。	A disk-like expansion or enlargement at the base of the style in the Umbelliferae (Apiaceae).
心皮无柱无柄的	Astylocarpellous	无花柱以及连接子房与花托的柄。	Lacking a style and a stipe.
心皮无柱有柄的	Astylocarpepodic	无花柱，但子房与花托之间有柄。	Without a style, but with a stipe.
无花柱的	Astylous	没有花柱。	Without a style. 
上位的	Superior	在上面着生，如着生在其它花轮着生点以上的子房。	Attached above, as an ovary that is attached above the point of attachment of the other floral whorls.
无花柱的	Astylous	没有花柱。	Without a style.
二深裂的	Bifid	通常从顶部深二裂或二瓣。	Deeply two-cleft or two-lobed, usually from the tip.
偏心的	Eccentric	偏离中心；不位于中轴上。	Off-center. Not positioned directly on the central axis.
基着式花柱	Gynobasic style	既着生于心皮上又着生于雌蕊基上的花柱。	A style which is attached to the gynobase as well as to the carpels.
花柱异长的	Heterostylic	同一种植物的花具有长度不等的花柱。	With styles of different lengths in flowers of the same species.
花柱异长的	Heterostylous	同一种植物的花具有长度不等的花柱。	With styles of different lengths in flowers of the same species.
花柱同长的	Homostylic	同一种植物花的花柱长度基本一致。	With styles of more or less constant length in flowers of the same species.
花柱同长的	Homostylous	同一种植物花的花柱长度基本一致。	With styles of more or less constant length in flowers of the same species.
长花柱的	Macrostylous	具长的花柱。	With a long style.
单花柱的	Monostylous	仅有一个花柱。	With a single style.
灯心草状的	Rush-like	具有不明显的花，形似禾草。	Grass-like in appearance, with inconspicuous flowers.
肉茎的	Sarcocaulous	具有肉质的茎。	With fleshy stems.
肉茎的	Sarcous	多肉的。	Fleshy.
具长匐茎的	Sarmentose	具有细长的纤匍茎。	With long, slender runners.
攀缘的	Scandent	攀缘的。	Climbing.
花葶状的	Scapiform	花形似花葶，但并非完全无叶。	Scape-like but not entirely leafless.
单枝的	Simple	不分枝。	Unbranched.
具根出条的	Soboliferous	根出条的或与根出条相关的；	Of or pertaining to sobols; bearing sobols.
拱垂的	Sprawling	向下弯曲,靠着某物并由其支撑。	Bending or curving downward; lying upon something and being supported by it.
平展的	Spreading	接近于水平伸展,几乎平卧。	Extending nearly to the horizontal; almost prostrate.
具匍匐茎的	Stoloniferous	具有匍匐茎。	Bearing stolons.
匍匐茎状的	Stoloniform	形似匍匐茎的。	Stolon-like.
笔直的	Strict	直，垂直，全然不平展。	Very straight and upright, not at all spreading.
近花葶状的	Subscapose	几近花葶。	Almost scapose.
地下的	Subterranean	位于地面之下。	Below the surface of the ground.
地下的	Subterraneous	位于地面之下。	Below the surface of the ground.
肉质的	Succulent	肉质多汁，如仙人掌的茎。	Juicy and fleshy, as the stem of a cactus.
半灌木状	Suffrutescent	略微灌木状，基部轻度木质化。	Somewhat shrubby; slightly woody at the base.
半灌木的	Suffruticose	轻度木质化。	Somewhat woody.
具中脉的	Costate	具肋纹的。	Ribbed.
网状脉的	Net-veined	网络状或网状的。	In the form of a network; reticulate.
平行脉的	Parallel-veined	主脉平行于叶轴或彼此平行。	With the main veins parallel to the leaf axis or to each other.  (compare net-veined)
羽状掌状的	Pinnipalmate	羽状和掌状之间的中间类型，叶片的第一对脉比其它的脉大而明显。	Intermediate between pinnate and plamate, as in a leaf with the first pair of veins larger and more distinctive than the others.
网状的	Reticulate	呈网络；网状脉。	In the form of a network; net-veined.
具肋的	Ribbed	具明显的肋状突起或脉纹。	With prominent ribs or veins. See illustration for costate.
具三脉的	Trinerved	三脉，都从近基处发出。	Three-nerved, with the nerves all arising from near the base. (compare triplinerved).
离基三出脉的	Triplinerved	三脉，两侧脉从中脉基部的上方分出。	Three-nerved, with the two lateral nerves arising from the midnerve above the base. (compare trinerved)
具脉的	Venose	具脉纹。	Veiny.
具二齿的	Bidentate	具两个齿。	With two teeth.
二裂的	Bifid	通常从顶端深二裂或裂为两个圆裂片。	Deeply two-cleft or two-lobed, usually from the tip.
掌状裂的	Palmatifid	掌状半裂或浅裂。	Palmately cleft or lobed.
掌状全裂的	Palmatisect	掌状全裂。	Palmately divided.
深裂的	Parted	深裂，通常超过至基部或中脉的一半。	Deeply cleft, usually more than half the distance to the base or midvein.
鸟足状的	Pedate	掌状全裂，外侧的裂片二裂。	Palmately divided, with the lateral lobes 2-cleft.
羽状半裂的	Pinnatifid	羽状半裂或浅裂至中脉的一半或更多，但未达到中脉。	Pinnately cleft or lobed half the distance or more to the midrib, but not reaching the midrib.
羽状浅裂的	Pinnatilobate	具羽状排列的浅裂片。	With pinnately arranged lobes.
羽状全裂的	Pinnatisect	羽状裂至中脉。	Pinnately cleft to the midrib.
四回羽状裂的	Quadripinnatifid	四次羽状的分裂。	Four times pinnately cleft.
残波状的	Repand	边缘有些波状或微弱的弯曲。等同波状的（undulate）。	With a slightly wavy or weakly sinuate margin.
外卷的	Revolute	边缘向下后卷（对比内卷的）。	With the margins rolled backward toward the underside. (compare involute)
倒向羽裂的	Runcinate	急羽裂或半裂，裂片向下。	Sharply pinnatifid or cleft, the segments directed downward.
有锯齿的	Serrate	叶缘具齿，尖齿向前。	Toothed along the margin, the sharp teeth pointing forward.
有细锯齿的	Serrulate	缘有细小的尖齿，尖齿向前。	Toothed along the margin with minute, sharp, forward-pointing teeth.
具深波状的	Sinuate	具强烈波状弯曲的边缘。	With a strongly wavy margin.
波状的	Sinuous	波浪或蛇行的形状。	Of a wavy or serpentine form.
三齿的	Tridentate	三齿。	Three-toothed.
三裂的	Trifid	三裂	Three-cleft
三深裂的	Tripartite	三深裂。	Three-parted.
三回羽状半裂的	Tripinnatifid	三次羽状半裂。	Three pinnately cleft.
波状的	Undulate	波浪状，但波曲程度不及深波状（sinuate）。	Wavy, but not so deeply or as pronounced as sinuate.
抱茎的	Amplexicaul	抱茎，如某些叶子的基部或托叶紧抱着茎干。	Clasping the stem, as the base or stipules of some leaves.
耳状抱茎的	Auriculate-clasping	叶基具耳状裂片，环绕着茎干。	Earlike lobes at the base of a leaf, encircling the stem.
抱茎的	Clasping	全部或部分围绕着茎干。	Wholly or partly surrounding the stem.
对生连基抱茎的	Connate-perfoliate	对生叶的基部联合并围绕茎干。	With the bases of opposite leaves fused around the stem.
下延的	Decurrent	从着生点向下延伸，如叶基沿茎干向下延伸。	Extending downward from the point of insertion, as a leaf base that extends down along the stem.
假单花花序	Pseudanthium	由许多小花密集而成，外观像一朵花的花序。	A compact inflorescence of many small flowers which simulates a single flower.
总状花序	Raceme	花具柄，由基向上渐次成熟，长而不分枝的花序。	An unbranched, elongated inflorescence with pedicellate flowers maturing from the bottom upwards.
蝎尾状聚伞花序	Scorpioid cyme	花序轴“之”字形弯曲的有限花序。	A determinate cymose inflorescence with a zigzag rachis.
单生花	Solitary	花单朵出现而不是一簇或一群。	Flowers occurring singly and not borne in a cluster or group.
佛焰花序，肉穗花序	Spadix	小花密集生于肥厚的轴上的穗状花序。	A spike with small flowers crowed on a thickened axis.
穗状花序	Spike	花或小穗花具柄，由基向上渐次成熟，长而不分枝的花序。	An unbranched, elongated inflorescence with sessile or subsessile flowers or spikelets maturing from the bottom upwards.
小穗	Spikelet	小型的穗状花序或次级穗状花序；由两片枚片（颖片）包裹的一至多花组成的禾草和莎草的末级花穗。	A small spike or secondary spike; the ultimate flower cluster of grasses and sedges, consisting of one to many flowers subtended by two bracts (glumes).
球穗花序	Strobile	球果或者像球果的花序。	A cone or an inflorescence resembling a cone.
聚伞圆锥花序	Thyrse	主轴无限、侧轴聚伞状，圆柱状或卵形的密集圆锥花序。	A compact, cylindrical, or ovate panicle with an indeterminate main axis and cymose subaxes.
伞形花序	Umbel	平顶或凸顶，花梗伞撑状、小花梗从同一点分出呈伞辐状的花序，高度密集的总状花序。	A flat-topped or convex inflorescence with the pedicels arising more or less from a common point, like the struts of an umbrella; a highly condensed raceme.
小伞	Umbellet	复伞形花序的末级伞状簇。	An ultimate umbellate cluster of a compound umbel.
轮状聚伞花序	Verticillaster	从对生叶或苞片腋部伸出的假轮生的聚伞花序。	A pair of axillary cymes arising from opposite leaves or bracts and forming a false whorl.
雄雌同序的	Androgynous	同时具有雄花和雌花的花序，雄花着生部位高于雌花，如苔草属的某些种。	An inflorescence with both staminate and pistillate flowers, the staminate flowers borne above the pistillate, as in some Carex species. (compare gynaecandrous)
腋生的	Axillary	着生于或发自腋部。	Positioned in or arising in an axil.
头状的	Capitate	头状或呈头状成簇，如菊科的花。	Head-like, or in a head-shaped cluster, as the flower in the Compositae (Asteraceae).
小头状的	Capitellate	具小的头状结构或多个非常小的头形簇。	With small head-like structures, or with parts in very small head-shaped clusters.
离心花序	Centrifugal inflorescence	自中心向外开放的花簇，如聚伞花序。	A flower cluster developing from the center outward, as in a cyme.
向心花序	Centripetal inflorescence	自边缘向中心开放的花簇，如伞房花序。	A flower cluster developing from the edge toward the center, as in a corymb.
伞房花序状的	Corymbiform	形似伞房花序，但结构不一定是真正的伞房花序。	An inflorescence with the general appearance, but not necessarily the structure, of a true corymb.
伞房状的	Corymbose	花排列成伞房花序。此术语有时等同伞房花序状的。	Having flowers in corymbs. The term sometimes used in the same sense as Corymbiform
杯状的	Cyathiform	具杯状聚伞花序；茶杯状。	With the form of a cyanthium; cup-shaped.
聚伞状	Cymose	花排列成聚伞花序。	With flowers in a cyme.
有限的	Determinate	用来描述端花先开，阻止主轴进一步延伸的花序。	Describes an inflorescence in which the terminal flower blooms first, halting further elongation of the main axis.
团集的	Glomerate	密集成簇。	Densely clustered.
团伞状的	Glomerulate	非常小的、密集成簇排列。	Arranged in very small, dense clusters.
雌雄同序的	Gynaecandrous	雌花着生部位高于雄花的花序，如苔草属的某些种。（对比雄雌同序的）	An inflorescence with the pistillate flowers borne above the staminate, as in some Carex species. (compare androgynous)
螺卷状的	Helicoid	螺旋状卷曲，如紫草科的某些单侧聚伞花序。	Coiled like a spiral or helix, as in some one-sided cymose inflorescences in the Boraginaceae.
无限的	Indeterminate	用来描述基部或外侧花先开放，主轴得以无限延伸的花序。	Describes an inflorescence in which the lower or outer flowers bloom first, allowing indefinite elongation of the main axis.
单歧聚伞状的	Monochasial	具单歧聚伞花序的形式。	With the form of a monochasium.
圆锥状的	Paniculate	花排列成圆锥花序。	Having flowers in panicles.
圆锥花序状的	Paniculiform	形似圆锥花序，但结构不一定是真正圆锥花序。	An inflorescence with the general appearance, but not necessarily the structure, of a true panicle.
总状花序状的	Racemiform	形似总状花序但结构区别于真正总状花序的花序。	An inflorescence with the general appearance, but not necessarily the structure, of a true raceme.
总状的	Racemose	花排列成总状花序。此术语有时和总状的同义。	Having flowers in racemes. The term is sometimes used in the same sense as racemiform.
蝎尾状的	Scorpioid	花序轴“之”字形弯曲的有限聚伞花序。	A determinate cymose inflorescence with a zigzag rachis; often used in the same sense as helicoid.
偏向的	Secund	仅排列在轴的一侧。	Arranged on one side of the axis only.
佛焰苞的	Spathaceous	具佛焰苞；佛焰苞状。	Spathe bearing; spathe-like.
穗状的	Spicate	成穗排列。	Arranged in a spike.
穗状花序状的	Spiciform	形似穗状花序但结构不一定是真正的穗状花序。	An inflorescence with the general appearance, but not necessarily the structure, of a true spike.
顶生的	Terminal	位于在顶端或顶部。	At the tip or apex.
聚伞圆锥状的	Thyrsoid	聚伞圆锥花序状。	Thyrse-like.
伞形的	Umbellate	排列成伞形花序；伞形花序状。	In umbels; umbel-like. 
伞形花序状的	Umbelliform	形似伞形花序，但结构不一定是真正的伞形花序。此术语常密集的聚伞花序而不是密集的总状花序。	An inflorescence with the general appearance, but not necessarily the structure, of a true umbel. The term is often applied to inflorescences which are condensed cymes rather than condensed racemes.
雄蕊群	Androecium	一朵花内所有雄蕊的总称。	All of the stamens in a flower, collectively.
花萼	Calyx (pl. calyces，calyxes)	外轮花被；一朵花内所有萼片的总称。	The outer perianth whorl; collective term for all of the sepals of a flower.
心皮	Carpel	组成单雌蕊或复合雌蕊的变态叶；大孢子叶。	A simple pistil formed from one modified leaf, or that part of a compound pitil formed from one modified leaf; megasporophyll.
花冠	Corolla	一朵花内所有花瓣的总称；内轮花被。	The collective name for all of the petals of a flower; the inner perianth whorl.
花被	Floral envelope	花冠的总称。等同花被。	A collective term for the calyx and corolla. (same as perianth)
雌蕊群	Gynecium	一朵花内所有心皮或雌蕊的总称。	All of the carpels or pistils of a flower, collectively.
雌蕊群	Gynoecium	一朵花内所有心皮或雌蕊的总称。	All of the carpels or pistils of a flower, collectively.
蜜腺	Nectar gland	产生花蜜的组织或器官。	A tissue or organ which produces nectar.
蜜腺	Nectary	产生花蜜的组织或器官。	A tissue or organ which produces nectar.
花梗	Pedicel	花序中单朵花的柄。	The stalk of a single flower in an inflorescence.
花序梗	Peduncle	单生花或花序的柄。	The stalk of a solitary flower or of an inflorescence.
花被	Perianth	花的花萼和花冠的总称，尤指二者外形相似时。	The calyx and corolla of a flower, collectively, especially when they are similar in appearance.
花瓣	Petal	花冠的单个裂片或部分，常有色或白色。	An individual segment or member of the corolla, usually colored or white.
雌蕊	Pistil	花的雌性生殖器官，典型地由柱头、花柱和子房组成。	The female reproductive organ of a flower, typically consisting of a stigma, style, and ovary. (compare to gynoecium)
花托	Receptacle	着生花部器官的花梗部分；在菊科中指着生头状花序花的花序梗部分。	The portion of the pedicel upon which the flower parts are borne; in the Compositae (Asteraceae), the part of the peduncle where the flowers of the head are borne.
萼片	Sepal	花萼的裂片。	A segment of the calyx.
雄蕊	Stamen (pl. stamens, stamina)	花的雄性生殖器官，由花药和花丝组成；被子植物的小孢子叶。	The male reproductive organ of a flower, consitsting of an anther and filament; the angiosperm microsporophyll.
花被片	Tepal	无花萼和花冠之分的花被片；萼片或花瓣。	A segment of a perianth which is not differentiated into calyx and corolla; a sepal or petal.
延伸的	Excurrent	超常延伸，如叶基沿茎干下延。	Extending beyond what is typical, as in a leaf base which extends down the stem.
具托叶鞘的	Ocreate	具鞘状托叶。	With sheathing stipules.
茎穿叶的	Perfoliate	叶边缘完全包围绕着茎，使茎看似从叶中穿过。	A leaf with the margins entirely surrounding the stem, so that the stem appears to pass through the leaf.
具叶柄的	Petiolate	叶具柄。	With a petiole.
具叶柄的	Petioled	叶具柄。	With a petiole.
叶基	Base	距叶着生点最近的叶片基部。	The end of the leaf blade nearest to the point of attachment.
叶片	Blade	叶的宽展部分。	The broad part of a leaf.
叶颈	Collar	禾草叶片和叶鞘联接处的外延部分。	The area on the outside of a grass leaf at the juncture blade and sheathe.
中脉	Costa (pl. Costae)	肋或显著的叶中脉。	A rib or prominent midevein of a leaf.
小齿	Denticle	小齿或齿状突出物。	A small tooth or tooth-like projection.
小叶	Leaflet.	复叶上的小叶。	A division of a compound leaf.
叶片	Limb	叶的宽展的部分。	The expanded part of a leaf.
半灌木的	Suffruticulose	轻度木质化。	Somewhat woody.
具根出条的	Surculose	从基部或根状茎上长出根出条或纤匐茎。	Producing suckers or runners from the base or from rootstocks.
地表的	Surficial	在近地面或地面上蔓生的。	Growing near the ground, or spread over the surface of the ground.
四棱的	Tetragonal	有四个棱角	Four-angled.
蔓生的	Trailing	平卧匍匐生长，但不生根。	Prostrate and creeping but not tooting.
三棱的	Triangulate	三个棱角的。	Three-angled.
三棱的	Trigonal	有三个棱。	Three-angled.
三棱的	Trigonous	有三个棱。	Three-angled.
丛生的	Tufted	密集成簇排列。	Arranged in a dense cluster.
缠绕的	Twining	围绕一个支撑物（如另一个茎）螺旋状盘绕支持物（常为其它茎）攀援生长。	Coiling or spiraling around a support (usually another stem ) for climbing.
无刺的	Unarmed	无刺，皮刺或棘刺。	Lacking spines, prickles, or thorns
单轴的	Uniaxial	单一不分枝的茎终止于花。	With a single unbranched stem terminating in a flower.
柔韧枝的	Vimineous	具有长而柔韧的小枝；由小枝组成；小枝状。	With long, flexible twigs; composed of twigs; twig like.
帚状的	Virgate	棒状的；细直，直立。	Wand like; straight, slender, and erect
具翅的	Winged	具有翅。	Possessing wings.
裂片	Lobe	器官的圆裂片，如叶的裂片。	A rounded division or segment of an organ, as of a leaf.
小裂片	Lobule	小裂片；裂片的次级裂片。	A small lobe; a lobe like subdivision of a lobe.
叶缘	Margin	叶片的边缘。	The edge of a leaf blade.
中裂片	Midlobe	叶的中央裂片。	The central lobe of a leaf.
中脉	Midnerve	叶的中央脉。	The central nerve of a leaf.
中脉	Midrib	叶的中脉或中肋。	The central rib or vein of a leaf.
中脉	Midvein	叶的中央叶脉。	The central vein of a leaf.
短尖头	Mucro	短而骤尖的叶端。	A short, sharp, abrupt point, usually at the tip of a leaf.
两浅裂片的	Bilobed	分成两个圆裂片。	Divided into two lobes.
二深裂的	Bipartite	二裂几近叶片的基部。	Divided almost to the base into two divisions.
二回羽状裂的	Bipinnatifid	两次羽状半裂。	Twice pinnately cleft.
二裂的	Bisected	裂成两部分。	Split into two parts.
具重锯齿的	Biserrate	叶缘锯齿上再具小锯齿。	Doubly serrate, as when the teeth of a serrate leaf are also serrate.
半裂的	Cleft	裂至基部或中部的一半。	Cut or split about half-way to the middle or base.
具圆齿的	Crenate	叶缘具圆形的齿。	With rounded teeth along the margin.
具细圆齿的	Crenulate	叶缘具很小的圆齿。	With very small rounded teeth along the margin.
皱波状的	Crisped	弯曲，波状或皱褶状。	Curled, wavy or crinkled.
具齿的	Dentate	叶缘具齿，尖朝外不向前。	Toothed along the margin, the teeth directed outward rather than forward.
